Protein A (gene name)	Protein B (gene name)	PubMed ID	Source databases
Adrbk1	Nedd4l	17544362	"psi-mi:""MI:0463""(biogrid)"
Adrbk1	Gng2	7972043	"psi-mi:""MI:0463""(biogrid)"
Adrbk1	Pik3cg	19429709	MI:0465(dip)
Adrbk1	Mdm2	21081496	"psi-mi:""MI:0463""(biogrid)"
Adrbk1	Gnb1	7972043	"psi-mi:""MI:0463""(biogrid)"
Adrbk1	Scnn1b	17544362	"psi-mi:""MI:0463""(biogrid)"
Adrm1	Psme2	23706739	"psi-mi:""MI:0469""(IntAct)"
Adrm1	Psma4	23706739	"psi-mi:""MI:0469""(IntAct)"
Adrm1	Psme4	23706739	"psi-mi:""MI:0469""(IntAct)"
Adrm1	Psma2	23706739	"psi-mi:""MI:0469""(IntAct)"
Adrm1	Psmb9	23706739	"psi-mi:""MI:0469""(IntAct)"
Adrm1	Ubc	18497817	"psi-mi:""MI:0463""(biogrid)"
Adrm1	Psmb5	23706739	"psi-mi:""MI:0469""(IntAct)"
Adrm1	Psmb8	23706739	"psi-mi:""MI:0469""(IntAct)"
Adrm1	Psmb1	23706739	"psi-mi:""MI:0469""(IntAct)"
Adrm1	Psmc6	23706739	"psi-mi:""MI:0469""(IntAct)"
Adrm1	Psma8	23706739	"psi-mi:""MI:0469""(IntAct)"
Adrm1	Psmd6	23706739	"psi-mi:""MI:0469""(IntAct)"
Adrm1	Psmb2	23706739	"psi-mi:""MI:0469""(IntAct)"
Adssl1	Adssl1	11560929	"psi-mi:""MI:0463""(biogrid)"
Aebp1	Gmeb2	20211142	"psi-mi:""MI:0463""(biogrid)"
Aebp1	Nfe2	20211142	"psi-mi:""MI:0463""(biogrid)"
Aes	Six6	12050133|12050133	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0469""(IntAct)"
Aes	Msx1	16002402	"psi-mi:""MI:0463""(biogrid)"
Aes	Traf1	15102471	"psi-mi:""MI:0469""(IntAct)"
Aes	Hdac3	21251616	"psi-mi:""MI:0463""(biogrid)"
Aes	Tle4	16002402	"psi-mi:""MI:0463""(biogrid)"
Aes	Aes	16002402	"psi-mi:""MI:0463""(biogrid)"
Aes	Tle1	21251616	"psi-mi:""MI:0463""(biogrid)"
Aes	Hmgb1	11748221|11748221	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Aes	Pou2f1	16002402	"psi-mi:""MI:0463""(biogrid)"
Aes	Six3	12050133|12050133	"psi-mi:""MI:0469""(IntAct)|psi-mi:""MI:0463""(biogrid)"
Afdn	Ssx2ip	12446711	"psi-mi:""MI:1222""(mbinfo)"
Aff4	Magoh	23663783	"psi-mi:""MI:0469""(IntAct)"
Aff4	Tmsb4x	23663783	"psi-mi:""MI:0469""(IntAct)"
Afg3l1	Ryr1	15102471	"psi-mi:""MI:0469""(IntAct)"
Agap2	Dcc	18469807	"psi-mi:""MI:0469""(IntAct)"
Agap2	Stat5a	20075866	"psi-mi:""MI:0463""(biogrid)"
Agap2	Grip1	MINT-8299421|21847098	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Agap2	Unc5b	18469807	"psi-mi:""MI:0469""(IntAct)"
Agap2	Prlr	20075866	"psi-mi:""MI:0463""(biogrid)"
Agap3	Pml	16461359	"psi-mi:""MI:0463""(biogrid)"
Ager	Prkcz	21829704	MI:0974(innatedb)
Ager	Irak4	21829704	MI:0974(innatedb)
Ager	Hmgb1	22842346	"psi-mi:""MI:0974""(InnateDB)"
Agfg1	Eps15	9303539	"psi-mi:""MI:0463""(biogrid)"
Ago1	Trim32	19269368	"psi-mi:""MI:0463""(biogrid)"
Ago2	Trove2	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Pabpc1	22918229|19716330	"psi-mi:""MI:0469""(IntAct)|psi-mi:""MI:0486""(UniProt)"
Ago2	Trim71	19898466	"psi-mi:""MI:0463""(biogrid)"
Ago2	Ybx1	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Tnrc6b	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Ybx3	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Ptges3	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Cltc	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Ago3	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Ddx6	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	FAM120A	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Hnrnpc	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Dhx36	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Pum2	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Matr3	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Pabpc4	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Mov10	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Rps3a	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Rps5	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Upf1	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Tnrc6a	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Znf521	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Ythdf2	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Rc3h1	25697406	"psi-mi:""MI:0469""(IntAct)"
Ago2	Ubc	19898466|22508726	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0463""(biogrid)"
Ago2	Fxr1	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Hnrnpul1	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Hnrnpl	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Fkbp5	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Elavl1	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Igf2bp2	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Hist1h1e	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Igf2bp3	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Rps18	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Igf2bp1	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Tnrc6c	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Dicer1	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Rps14	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Rps19	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Larp1	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Tarbp2	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Hsp90aa1	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Cnot7	19716330	"psi-mi:""MI:0486""(UniProt)"
Ago2	Fxr2	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Dhx30	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Edc4	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Hp1bp3	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Hsp90ab1	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Dhx9	22918229	"psi-mi:""MI:0469""(IntAct)"
Ago2	Herc6	22918229	"psi-mi:""MI:0469""(IntAct)"
Agrn	Pak1	12165471	"psi-mi:""MI:0463""(biogrid)"
Agrn	Dvl3	12165471	"psi-mi:""MI:0463""(biogrid)"
Agrn	Dvl1	12165471	"psi-mi:""MI:0463""(biogrid)"
Agrn	Dvl2	12165471	"psi-mi:""MI:0463""(biogrid)"
Agtr1a	Agtrap	10358057	"psi-mi:""MI:0463""(biogrid)"
Agtr1a	Agt	10358057	"psi-mi:""MI:0463""(biogrid)"
Agtr1a	Agtrap	15757644|10358057|15757644	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0469""(IntAct)|psi-mi:""MI:0471""(MINT)"
Agtr1a	Arrb1	11579203	"psi-mi:""MI:0463""(biogrid)"
Agtrap	Agtr1a	15757644|15757644|10358057	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0469""(IntAct)"
Agtrap	Tnfrsf1a	15102471	"psi-mi:""MI:0469""(IntAct)"
Ahcy	Traf1	15102471	"psi-mi:""MI:0469""(IntAct)"
Ahi1	Krt2	21565611	"psi-mi:""MI:0463""(biogrid)"
Ahi1	Krt5	21565611	"psi-mi:""MI:0463""(biogrid)"
Ahi1	Jup	21565611|21565611	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0469""(IntAct)"
Ahi1	Invs	21565611|21565611	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0469""(IntAct)"
Ahi1	Myo15	21565611	"psi-mi:""MI:0463""(biogrid)"
Ahi1	Krt78	21565611	"psi-mi:""MI:0463""(biogrid)"
Ahi1	Tuba1b	21565611|21565611	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0469""(IntAct)"
Ahi1	Krt15	21565611	"psi-mi:""MI:0463""(biogrid)"
Ahi1	Krt42	21565611	"psi-mi:""MI:0463""(biogrid)"
Ahi1	Krt14	21565611	"psi-mi:""MI:0463""(biogrid)"
Ahi1	Krt16	21565611	"psi-mi:""MI:0463""(biogrid)"
Ahi1	Tctn1	21565611|21565611	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0469""(IntAct)"
Ahi1	Fhl2	21565611|21565611	"psi-mi:""MI:0469""(IntAct)|psi-mi:""MI:0463""(biogrid)"
Ahi1	Krt10	21565611	"psi-mi:""MI:0463""(biogrid)"
Ahi1	Mks1	21565611|21565611	"psi-mi:""MI:0469""(IntAct)|psi-mi:""MI:0463""(biogrid)"
Ahi1	Actb	21565611|21565611	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0469""(IntAct)"
Ahi1	Krt1	21565611	"psi-mi:""MI:0463""(biogrid)"
Ahi1	Krt73	21565611	"psi-mi:""MI:0463""(biogrid)"
Ahi1	Cct8	21565611|21565611	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0469""(IntAct)"
Ahi1	Rps27a	21565611	"psi-mi:""MI:0463""(biogrid)"
Ahi1	Hap1	MINT-8076316|21146532	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Ahi1	Krt77	21565611	"psi-mi:""MI:0463""(biogrid)"
Ahi1	Tubb5	21565611|21565611	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0469""(IntAct)"
Ahi1	Cc2d2a	21565611|21565611	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0469""(IntAct)"
Ahi1	Hspa5	21565611|21565611	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0469""(IntAct)"
Ahi1	Hsp90ab1	21565611|21565611	"psi-mi:""MI:0469""(IntAct)|psi-mi:""MI:0463""(biogrid)"
Ahi1	Hspa9	21565611|21565611	"psi-mi:""MI:0469""(IntAct)|psi-mi:""MI:0463""(biogrid)"
Ahi1	Krt76	21565611	"psi-mi:""MI:0463""(biogrid)"
Ahi1	Hspa8	21565611|21565611	"psi-mi:""MI:0469""(IntAct)|psi-mi:""MI:0463""(biogrid)"
Ahi1	Hsp90aa1	21565611|21565611	"psi-mi:""MI:0469""(IntAct)|psi-mi:""MI:0463""(biogrid)"
Ahnak	Anxa2	23415230	"psi-mi:""MI:0463""(biogrid)"
Ahnak	S100a10	23415230	"psi-mi:""MI:0463""(biogrid)"
Ahnak2	Anxa2	23415230	"psi-mi:""MI:0463""(biogrid)"
Ahnak2	S100a10	23415230	"psi-mi:""MI:0463""(biogrid)"
Ahr	Hsp90ab1	8828811	MI:0465(dip)
Ahr	Tdo2	25453901	"psi-mi:""MI:0469""(IntAct)"
Ahr	Calcoco1	15383530	"psi-mi:""MI:0463""(biogrid)"
Ahr	Afmid	25453901	"psi-mi:""MI:0469""(IntAct)"
Ahr	Maf	20676092|20676095	MI:0974(innatedb)|MI:0974(innatedb)
Ahr	Aip	20211142	"psi-mi:""MI:0463""(biogrid)"
Ahrr	Arnt	19251700	"psi-mi:""MI:0463""(biogrid)"
Ahsg	Enam	15883644	"psi-mi:""MI:0469""(IntAct)"
Ahsg	Tlr4	22842477	MI:0974(innatedb)
Aicda	Orc5	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Cct3	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Trip12	21186367	MI:0974(innatedb)
Aicda	Sympk	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Rbbp4	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Pdia6	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Exosc6	21255825	"psi-mi:""MI:0469""(IntAct)"
Aicda	Tnpo1	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Galk1	21186367|21186367	"MI:0974(innatedb)|psi-mi:""MI:0974""(InnateDB)"
Aicda	Smarcc2	21186367|21186367	"MI:0974(innatedb)|psi-mi:""MI:0974""(InnateDB)"
Aicda	Fam129a	21186367|21186367	"MI:0974(innatedb)|psi-mi:""MI:0974""(InnateDB)"
Aicda	Pold1	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Actg1	21186367	MI:0974(innatedb)
Aicda	Nfkbid	21186367	"psi-mi:""MI:0974""(InnateDB)"
Aicda	Ptbp2	21186367	MI:0974(innatedb)
Aicda	Nedd4	23964096	"psi-mi:""MI:0463""(biogrid)"
Aicda	Dync1h1	21186367|21186367	"MI:0974(innatedb)|psi-mi:""MI:0974""(InnateDB)"
Aicda	Cct5	21186367|21186367	"MI:0974(innatedb)|psi-mi:""MI:0974""(InnateDB)"
Aicda	Gadd45a	21722948|21722948	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0469""(IntAct)"
Aicda	Pdk3	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Serpinb1a	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Metap1	21186367	MI:0974(innatedb)
Aicda	Ptbp2	21186367	"psi-mi:""MI:0974""(InnateDB)"
Aicda	Top2b	21186367|21186367	"MI:0974(innatedb)|psi-mi:""MI:0974""(InnateDB)"
Aicda	Glyr1	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Supt5	23964096	"psi-mi:""MI:0463""(biogrid)"
Aicda	Ddx47	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Actr3	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Smarca5	21186367	"psi-mi:""MI:0974""(InnateDB)"
Aicda	Gcn1l1	21186367|21186367	"MI:0974(innatedb)|psi-mi:""MI:0974""(InnateDB)"
Aicda	Trip12	21186367	"psi-mi:""MI:0974""(InnateDB)"
Aicda	Metap1	21186367	"psi-mi:""MI:0974""(InnateDB)"
Aicda	Pdcd4	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Wdfy4	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Exosc3	23964096	"psi-mi:""MI:0463""(biogrid)"
Aicda	Mre11a	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Cct6b	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Rad50	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Rpl4	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Irf8	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Exosc5	21255825	"psi-mi:""MI:0469""(IntAct)"
Aicda	Smarca5	21186367	MI:0974(innatedb)
Aicda	Tdg	21722948|21722948	"psi-mi:""MI:0469""(IntAct)|psi-mi:""MI:0463""(biogrid)"
Aicda	Tubb3	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Toe1	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Wapl	21186367	"psi-mi:""MI:0974""(InnateDB)"
Aicda	Actg1	21186367	"psi-mi:""MI:0974""(InnateDB)"
Aicda	Nfkbid	21186367	MI:0974(innatedb)
Aicda	Exosc3	21255825	"psi-mi:""MI:0469""(IntAct)"
Aicda	Dnase1	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Acaca	21186367|21186367	"psi-mi:""MI:0974""(InnateDB)|MI:0974(innatedb)"
Aicda	Apex1	24097111	MI:0974(innatedb)
Aicda	Wapal	21186367	MI:0974(innatedb)
Aifm1	Bag6	18056262	"psi-mi:""MI:0463""(biogrid)"
Aifm1	Aifm1	20360685	"psi-mi:""MI:0471""(MINT)"
Aim2	Aim2	19158676	"psi-mi:""MI:0486""(UniProt)"
Aim2	Pycard	IM-23404|25327779	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Aim2	Ralb	22286270	"psi-mi:""MI:0974""(InnateDB)"
Aip	Gnaq	MINT-7228037	"psi-mi:""MI:0471""(MINT)"
Aip	Gna13	19390533|MINT-7228037	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Aip	Thrb	16936638|16936638	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Aip	Gnaq	19390533	"psi-mi:""MI:0471""(MINT)"
Aire	Rad21	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Ruvbl2	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Srsf3	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Snrpb	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Polr2b	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Srsf1	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Snrpd3	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Prkdc	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Nup93	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Pabpc1	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Polr2a	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Srsf2	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Xpo1	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Supt16h	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Ranbp9	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Smc3	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Parp1	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Ranbp2	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Xpot	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Smc1a	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Trim28	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Top2a	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Pcna	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Mcm5	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Msh6	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	C1qbp	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Chd6	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Hist2h2bb	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Gemin5	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Gcn1l1	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Ipo7	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Mcm6	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Eftud2	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Msh2	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Ddx17	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Ddx5	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Mcm2	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Cand1	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Nop56	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Hist1h2ab	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Lmnb1	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Mybbp1a	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Aire	11533054	"psi-mi:""MI:0469""(IntAct)"
Aire	Hist1h3a	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Nasp	20085707	"psi-mi:""MI:0469""(IntAct)"
Aire	Kpnb1	20085707	"psi-mi:""MI:0469""(IntAct)"
Ajuba	Grb2	10330178	MI:0974(innatedb)
Ajuba	Thra	20133701	MI:0465(dip)
Akap1	Dnm1l	22099302	"psi-mi:""MI:0463""(biogrid)"
Akap1	Rps27a	18323779|18323779	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Akap1	Siah2	18323779|18323779	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Akap10	Prkar2a	15102471	"psi-mi:""MI:0469""(IntAct)"
Akap13	Prkar2a	15102471	"psi-mi:""MI:0469""(IntAct)"
Akap2	Prkar2a	15102471	"psi-mi:""MI:0469""(IntAct)"
Akap3	Brap	25820252|25820252	"psi-mi:""MI:0469""(IntAct)|psi-mi:""MI:0463""(biogrid)"
Akap5	Prkar2a	22940692|22940692	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Akap5	Ppp3cb	22940692|22940692	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Akap6	Prkd1	23540699	"psi-mi:""MI:0469""(IntAct)"
Akap6	Rapgef3	23540699	"psi-mi:""MI:0469""(IntAct)"
Akap8	Ccnd1	14641107	"psi-mi:""MI:0486""(UniProt)"
Akap8	Ddx5	11279182	"psi-mi:""MI:0486""(UniProt)"
Akap8	Nfkb1	19531803|19531803	"MI:0974(innatedb)|psi-mi:""MI:0486""(UniProt)"
Akap9	Prkar2a	15102471	"psi-mi:""MI:0469""(IntAct)"
Akap9	Tsnax	12036294	"psi-mi:""MI:0463""(biogrid)"
Akip1	Rac1	17227220	"psi-mi:""MI:0463""(biogrid)"
Akirin2	Nfkbiz	25107474|IM-23815	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Akt1	Gsk3a	18851840|20576936	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0463""(biogrid)"
Akt1	Tbk1	21106850	MI:0974(innatedb)
Akt1	Ppp2ca	16051150	"psi-mi:""MI:0463""(biogrid)"
Akt1	Ppp2r2b	16051150	"psi-mi:""MI:0463""(biogrid)"
Akt1	Prkcz	17220321	MI:0974(innatedb)
Akt1	Lmna	18388859	"psi-mi:""MI:0471""(MINT)"
Akt1	Smad3	15104092	MI:0974(innatedb)
Akt1	Wdfy2	18388859|18388859	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Akt1	Trib3	12791994	"psi-mi:""MI:0469""(IntAct)"
Akt1	Ttc3	20059950	"psi-mi:""MI:0463""(biogrid)"
Akt1	Src	19122674	"psi-mi:""MI:0463""(biogrid)"
Akt1	Arrb1	16051150	"psi-mi:""MI:0463""(biogrid)"
Akt1	Akt2	15545269	"psi-mi:""MI:0463""(biogrid)"
Akt1	Ppargc1a	17554339	"psi-mi:""MI:0463""(biogrid)"
Akt1	Sox2	25042802	"psi-mi:""MI:0463""(biogrid)"
Akt1	Sirt1	21775285	"psi-mi:""MI:0469""(IntAct)"
Akt1	Rps27a	MINT-6978742|18566586	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Akt1	Kctd20	24156551	"psi-mi:""MI:0463""(biogrid)"
Akt1	Hsp90aa1	MINT-6978742|10995457|18566586|18566586	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0471""(MINT)"
Akt1	Btbd10	18160256|18160256	"psi-mi:""MI:0463""(biogrid)|MI:0974(innatedb)"
Akt1	Arrb2	19122674|16051150	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0463""(biogrid)"
Akt1	Hist2h2bb	9582374	"psi-mi:""MI:0463""(biogrid)"
Akt1	Hspb2	17015449	"psi-mi:""MI:0463""(biogrid)"
Akt1	Ctnnd1	17993462	"psi-mi:""MI:0463""(biogrid)"
Akt1	Foxo1	18388859|18388859	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Akt1	Arrb2	19122674	MI:0465(dip)
Akt1	Akt1	7891724	"psi-mi:""MI:0463""(biogrid)"
Akt1	Mtor	17660512	MI:0974(innatedb)
Akt1	Mapk14	17015449	"psi-mi:""MI:0463""(biogrid)"
Akt1	Hspb1	12740362	"psi-mi:""MI:0463""(biogrid)"
Akt1	Mapkapk2	17015449	"psi-mi:""MI:0463""(biogrid)"
Akt1	Hsp90ab1	10995457	"psi-mi:""MI:0463""(biogrid)"
Akt1	Gapdh	18388859|18388859	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Akt1	Ccdc88a	15753085	"psi-mi:""MI:0463""(biogrid)"
Akt1	Lmna	23686339|18388859	"MI:0465(dip)|psi-mi:""MI:0471""(MINT)"
Akt1	Pawr	16209943	MI:0974(innatedb)
Akt1	Hist1h2bc	11435472	"psi-mi:""MI:0463""(biogrid)"
Akt1	Clip3	19139280	"psi-mi:""MI:0463""(biogrid)"
Akt1	Gsk3b	20576936|18851840	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0463""(biogrid)"
Akt1	Map3k5	11154276	"psi-mi:""MI:0469""(IntAct)"
Akt1s1	Ywhaq	20127721|20127721	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Akt1s1	Mtor	19276681	MI:0974(innatedb)
Akt2	Phb2	17565718	MI:0974(innatedb)
Akt2	Kctd20	24156551	"psi-mi:""MI:0463""(biogrid)"
Akt2	Clip3	19139280|19139280	"psi-mi:""MI:0463""(biogrid)|MI:0974(innatedb)"
Akt2	Pak1	17012749	MI:0974(innatedb)
Akt2	Gsk3b	20576936	"psi-mi:""MI:0463""(biogrid)"
Akt2	Gsk3a	20576936	"psi-mi:""MI:0463""(biogrid)"
Akt2	Btbd10	18160256|18160256	"psi-mi:""MI:0463""(biogrid)|MI:0974(innatedb)"
Akt3	Btbd10	18160256|18160256	"MI:0974(innatedb)|psi-mi:""MI:0463""(biogrid)"
Alad	Alad	11591653|11591653	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Alas2	Alas2	8688429	"psi-mi:""MI:0463""(biogrid)"
Aldh4a1	Aldh4a1	22516612	"psi-mi:""MI:0486""(UniProt)"
Aldoa	Prdx1	15627969	"psi-mi:""MI:0469""(IntAct)"
Aldoa	Rack1	15627969	"psi-mi:""MI:0469""(IntAct)"
Aldoa	Hba	15627969	"psi-mi:""MI:0469""(IntAct)"
